ID,SIZE,NAME,DATE
0,102M,ruc1320110324t18_23.tar,20110324
1172,608M,ruc1320110324t06_11.tar,20110324
3,10K,ruc1320110327t00_05.tar,20110327
4,10K,ruc1320110327t06_11.tar,20110327
19,209M,ruc1320110327t12_17.tar,20110327
1185,631M,ruc1320110327t18_23.tar,20110327
1174,622M,ruc1320110328t06_11.tar,20110328
1179,625M,ruc1320110328t12_17.tar,20110328
1184,630M,ruc1320110328t00_05.tar,20110328
1198,636M,ruc1320110328t18_23.tar,20110328
5,10K,ruc1320110329t18_23.tar,20110329
22,310M,ruc1320110329t12_17.tar,20110329
1175,623M,ruc1320110329t06_11.tar,20110329
1187,632M,ruc1320110329t00_05.tar,20110329
6,10K,ruc1320110330t00_05.tar,20110330
7,10K,ruc1320110330t06_11.tar,20110330
583,535M,ruc1320110330t12_17.tar,20110330
1238,652M,ruc1320110330t18_23.tar,20110330
8,10K,ruc1320110331t18_23.tar,20110331
20,216M,ruc1320110331t12_17.tar,20110331
1218,645M,ruc1320110331t06_11.tar,20110331
1228,649M,ruc1320110331t00_05.tar,20110331
1239,652M,ruc1320110405t12_17.tar,20110405
1245,655M,ruc1320110405t06_11.tar,20110405
1256,658M,ruc1320110405t18_23.tar,20110405
1192,634M,ruc1320110408t06_11.tar,20110408
1200,637M,ruc1320110408t12_17.tar,20110408
1203,639M,ruc1320110408t00_05.tar,20110408
1231,650M,ruc1320110408t18_23.tar,20110408
1204,639M,ruc1320110410t12_17.tar,20110410
1209,641M,ruc1320110410t06_11.tar,20110410
1215,643M,ruc1320110410t00_05.tar,20110410
1232,650M,ruc1320110410t18_23.tar,20110410
611,538M,ruc1320110411t06_11.tar,20110411
1222,646M,ruc1320110411t12_17.tar,20110411
1233,650M,ruc1320110411t18_23.tar,20110411
1236,651M,ruc1320110411t00_05.tar,20110411
1181,626M,ruc1320110412t06_11.tar,20110412
1182,627M,ruc1320110412t12_17.tar,20110412
1189,633M,ruc1320110412t18_23.tar,20110412
1205,639M,ruc1320110412t00_05.tar,20110412
1173,621M,ruc1320110413t06_11.tar,20110413
1176,623M,ruc1320110413t12_17.tar,20110413
1183,629M,ruc1320110413t00_05.tar,20110413
1201,637M,ruc1320110413t18_23.tar,20110413
1196,635M,ruc1320110416t06_11.tar,20110416
1197,635M,ruc1320110416t12_17.tar,20110416
1202,637M,ruc1320110416t00_05.tar,20110416
1206,639M,ruc1320110416t18_23.tar,20110416
1180,625M,ruc1320110417t12_17.tar,20110417
1188,632M,ruc1320110417t00_05.tar,20110417
1177,623M,ruc1320110419t06_11.tar,20110419
1178,624M,ruc1320110419t12_17.tar,20110419
1210,641M,ruc1320110419t18_23.tar,20110419
1193,634M,ruc1320110421t12_17.tar,20110421
1237,651M,ruc1320110421t18_23.tar,20110421
1190,633M,ruc1320110422t12_17.tar,20110422
1216,643M,ruc1320110422t00_05.tar,20110422
1224,647M,ruc1320110422t18_23.tar,20110422
1199,636M,ruc1320110423t12_17.tar,20110423
1225,647M,ruc1320110423t00_05.tar,20110423
1240,652M,ruc1320110423t18_23.tar,20110423
1229,649M,ruc1320110427t12_17.tar,20110427
1243,654M,ruc1320110427t06_11.tar,20110427
1265,662M,ruc1320110427t18_23.tar,20110427
1269,666M,ruc1320110427t00_05.tar,20110427
1208,640M,ruc1320110428t12_17.tar,20110428
1211,642M,ruc1320110428t06_11.tar,20110428
1234,650M,ruc1320110428t00_05.tar,20110428
1244,654M,ruc1320110428t18_23.tar,20110428
1191,633M,ruc1320110502t12_17.tar,20110502
1194,634M,ruc1320110502t06_11.tar,20110502
1212,642M,ruc1320110502t00_05.tar,20110502
1235,650M,ruc1320110502t18_23.tar,20110502
9,10K,ruc1320110503t12_17.tar,20110503
10,10K,ruc1320110503t18_23.tar,20110503
24,320M,ruc1320110503t06_11.tar,20110503
1226,647M,ruc1320110503t00_05.tar,20110503
11,10K,ruc1320110504t00_05.tar,20110504
497,528M,ruc1320110504t06_11.tar,20110504
1186,631M,ruc1320110504t12_17.tar,20110504
1217,644M,ruc1320110504t18_23.tar,20110504
12,10K,ruc1320110505t12_17.tar,20110505
13,10K,ruc1320110505t18_23.tar,20110505
23,313M,ruc1320110505t06_11.tar,20110505
1195,634M,ruc1320110505t00_05.tar,20110505
14,10K,ruc1320110506t00_05.tar,20110506
532,531M,ruc1320110506t06_11.tar,20110506
1213,642M,ruc1320110506t12_17.tar,20110506
1271,667M,ruc1320110506t18_23.tar,20110506
15,10K,ruc1320110507t12_17.tar,20110507
16,10K,ruc1320110507t18_23.tar,20110507
25,324M,ruc1320110507t06_11.tar,20110507
1260,659M,ruc1320110507t00_05.tar,20110507
17,10K,ruc1320110508t00_05.tar,20110508
635,541M,ruc1320110508t06_11.tar,20110508
1230,649M,ruc1320110508t12_17.tar,20110508
1272,668M,ruc1320110508t18_23.tar,20110508
18,10K,ruc1320110509t12_17.tar,20110509
21,238M,ruc1320110509t00_05.tar,20110509
134,450M,ruc1320110509t18_23.tar,20110509
799,55M,ruc1320110509t06_11.tar,20110509
842,563M,ruc1320110510t18_23.tar,20110510
1257,658M,ruc1320110510t06_11.tar,20110510
1258,658M,ruc1320110510t12_17.tar,20110510
1266,665M,ruc1320110510t00_05.tar,20110510
158,459M,ruc1320110511t20_23.tar,20110511
756,556M,ruc1320110511t05_09.tar,20110511
768,557M,ruc1320110511t10_14.tar,20110511
802,560M,ruc1320110511t00_04.tar,20110511
863,564M,ruc1320110511t15_19.tar,20110511
1251,657M,ruc1320110512t12_17.tar,20110512
1261,659M,ruc1320110512t06_11.tar,20110512
1278,674M,ruc1320110512t00_05.tar,20110512
1283,677M,ruc1320110512t18_23.tar,20110512
1250,656M,ruc1320110513t12_17.tar,20110513
1263,660M,ruc1320110513t06_11.tar,20110513
1276,672M,ruc1320110513t00_05.tar,20110513
1207,639M,ruc1320110516t06_11.tar,20110516
1214,642M,ruc1320110516t12_17.tar,20110516
1259,658M,ruc1320110516t18_23.tar,20110516
1219,645M,ruc1320110517t06_11.tar,20110517
1227,647M,ruc1320110517t12_17.tar,20110517
1241,652M,ruc1320110517t00_05.tar,20110517
1267,665M,ruc1320110517t18_23.tar,20110517
1223,646M,ruc1320110518t06_11.tar,20110518
1242,653M,ruc1320110518t12_17.tar,20110518
1246,655M,ruc1320110518t00_05.tar,20110518
1277,672M,ruc1320110518t18_23.tar,20110518
168,461M,ruc1320110521t20_23.tar,20110521
712,551M,ruc1320110521t10_14.tar,20110521
757,556M,ruc1320110521t05_09.tar,20110521
803,560M,ruc1320110521t15_19.tar,20110521
967,570M,ruc1320110521t00_04.tar,20110521
178,465M,ruc1320110522t20_23.tar,20110522
697,550M,ruc1320110522t10_14.tar,20110522
735,554M,ruc1320110522t05_09.tar,20110522
830,562M,ruc1320110522t15_19.tar,20110522
904,566M,ruc1320110522t00_04.tar,20110522
159,459M,ruc1320110523t20_23.tar,20110523
814,561M,ruc1320110523t05_09.tar,20110523
815,561M,ruc1320110523t10_14.tar,20110523
905,566M,ruc1320110523t15_19.tar,20110523
946,569M,ruc1320110523t00_04.tar,20110523
143,456M,ruc1320110524t20_23.tar,20110524
736,554M,ruc1320110524t10_14.tar,20110524
758,556M,ruc1320110524t05_09.tar,20110524
804,560M,ruc1320110524t15_19.tar,20110524
